proj,path,prefix,posfix,tag,psf,mask,type,comment,telescope,system,tracer,test
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.SPIRE350.img,spire350,24.9,,2d,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.SPIRE500.img,spire500,36.3,,2d,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.PACS100.unc,pacs100e,6.8,,2de,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.PACS160.unc,pacs160e,11.4,,2de,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.SPIRE250.unc,spire250e,18.2,,2de,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.SPIRE350.unc,spire350e,24.9,,2de,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,.HERITAGE.SPIRE500.unc,spire500e,36.3,,2de,magclouds,herschel,neon,dust,
magclouds,/Volumes/Scratch/data_repo/21cm/gass_mcs/,,_gass.gm.mc.mom0,higass_mc,-1,,2d,magclouds,PARKS,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/21cm/gass_mcs/,,_gass.gm.mc.emom0,higasse_mc,-1,,2de,magclouds,PARKS,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/21cm/gass_mcs/,,_gass.gm.mw.mom0,higass_mw,-1,,2d,magclouds,PARKS,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/21cm/gass_mcs/,,_gass.gm.mw.emom0,higasse_mw,-1,,2de,magclouds,PARKS,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/21cm/gass_mcs/,,_gass.gm.mc.mom1,higass_mc_mom1,-1,,2d,magclouds,PARKS,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/21cm/gass_mcs/,,_gass.gm.mw.mom1,higass_mw_mom1,-1,,2d,magclouds,PARKS,neon,atomic,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_MIPS24_GAUSS41,mips24_smo41,41,,2d,magclouds,Spitzer,neon,hotdust,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_IRAC8.0_GAUSS41,irac8_smo41,41,,2d,magclouds,Spitzer,neon,pah,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.ha_mcels,ha_mcels,2,,2d,magclouds,CTIO,neon,rad,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.co_nanten.cm,nanten3d,-1,,3d,magclouds,NANTEN,neon,molecular,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.co_magma.cm,magma3d,-1,,3d,magclouds,MOPRA,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.hi.cm,hi3d,-1,,3d,magclouds,ATCA,neon,,
magclouds,/Volumes/Scratch/data_repo/21cm/gass/,,_gass,higass3d,-1,,3d,magclouds,PARKS,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_MIPS160_mosaic,mips160,40,,2d,magclouds,Spitzer,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_MIPS70_mosaic,mips70,18,,2d,magclouds,Spitzer,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_MIPS24_mosaic,mips24,6,,2d,magclouds,Spitzer,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_IRAC8.0_mosaic,irac8,1.98,,2d,magclouds,Spitzer,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_IRAC8.0_resid,irac8res,1.98,,2d,magclouds,Spitzer,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.hi.cm.sm.peak,hipk,-1,,2d,magclouds,Spitzer,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/sagemap/,,_IRAC8.0_GAUSS41_res,irac8res_sm,41,,2d,magclouds,Spitzer,neon,,
magclouds,/Volumes/Scratch/data_repo/projects/magclouds/gasmap/,,.fl,ha_shassa,48,,2d,magclouds,SHASSA,neon,,
,./,,.cocube.sm.mom0,temp,45,,,magclouds,,neon,,
,,,,,,,,,,,,
,/Users/Rui/Workspace/sting/gromom/,n,co.sgm.mom0_hsen,co_hsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/gromom/,n,co.sgm.emom0_hsen,coe_hsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/gromom/,n,co.sgm.mom0_lsen,co_lsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/gromom/,n,co.sgm.emom0_lsen,coe_lsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.mom0_hsen,hi_hsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.emom0_hsen,hie_hsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.mom0_lsen,hi_lsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.emom0_lsen,hie_lsen,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/nearby-mhi/,,.mhico.line.cm.sgm.mom0,mhico,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/nearby-mhi/,,.mhi_lowco.line.cm.sgm.mom0,mhicolow,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/nearby-mhi/,,.mhi_highco.line.cm.sgm.mom0,mhicohigh,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/nearby-mhi/,,.mhi.co21.mom0,mhico21,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/nearby-mhi/,,.mhi_low.co21.mom0,mhico21low,-1,,,junk,model,neon,,
,/Users/Rui/Workspace/sting/nearby-mhi/,,.mhi_high.co21.mom0,mhico21high,-1,,,junk,model,neon,,
,./,,.mapx,x,-1,,,junk,model,neon,,
,./,,.mapx_low,x_low,-1,,,junk,model,neon,,
,./,,.mapx_high,x_high,-1,,,junk,model,neon,,
,,,,,,,,,,neon,,
,/Volumes/Scratch/reduc/examples/n3593co/,n,co.line.cm,msc,-1,,,msc_test,,neon,,
,/Volumes/Scratch/reduc/sting-co/sdi/n4254/,ngc,.co.cmmsk,sdi,-1,,,msc_test,,neon,,
,/Volumes/Scratch/reduc/sting-co/mscr/n4254/,ngc,co.line.cm,msc_old,-1,,,msc_test,,neon,,
,/Volumes/Scratch/reduc/examples/n4254co/,n,co.cln,sdi_mod,-1,,,msc_test,,neon,,
,/Volumes/Scratch/reduc/examples/n4254co/,n,co.cmodel.cm,msc,-1,,,msc_test,,neon,,
,,,,,,,,,,,,
MAGMA,/Users/tonywong/Data/lmc_all/,,.gm.mom0,hi_mom0,-1,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,,.gm.mom1,hi_mom1,-1,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,,.gm.peak,hi_peak,-1,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.sgm.mom0,magma_mom0,-1,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.gm.mom1,magma_mom1,-1,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.gm.peak,magma_peak,-1,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.sgm.roi,magma_roi,-1,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,,.HERITAGE.SPIRE350.img,spire350,24.9,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,SAGE_,_MIPS24_E12,mips24,6,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,SAGE_,_IRAC8.0_2_mosaic,irac8,6,,,,,mmwave,,
MAGMA,/Users/tonywong/Data/lmc_all/,SAGE_,_IRAC8.0_2_resid,irac8res,6,,,,,mmwave,,
